date,latitude,longitude,location,location_type,aod_550,trop_no2,trop_co
2023-01-01,13.225,80.315,Manali (Urban),Urban,0.3590095940830615,21.41657608253479,0.7429129581936735
2023-01-01,13.225,80.32,Manali (Urban),Urban,0.3189661755013612,22.435408238322037,0.7646046785128563
2023-01-01,13.225,80.32499999999999,Manali (Urban),Urban,0.29729300800847425,30.15269561526699,0.5696769458873513
2023-01-01,13.23,80.315,Manali (Urban),Urban,0.4366125587866858,22.93633099392425,0.8056914646778558
2023-01-01,13.23,80.32,Manali (Urban),Urban,0.5111296404551833,27.34183542015549,0.8230437519537803
2023-01-01,13.23,80.32499999999999,Manali (Urban),Urban,0.4814128817607154,23.63107879637056,0.7091374792733638
2023-01-01,13.235000000000001,80.315,Manali (Urban),Urban,0.4937813347961896,35.14496748454396,1.0174980621929395
2023-01-01,13.235000000000001,80.32,Manali (Urban),Urban,0.31899022299322743,26.01098992673489,0.7593033942032993
2023-01-01,13.235000000000001,80.32499999999999,Manali (Urban),Urban,0.3623326295999988,28.960394572418235,0.8024906808381901
2023-01-01,13.094999999999999,80.28500000000001,Adyar (Urban),Urban,0.5086790399610897,32.36705145296386,0.7078123881570403
2023-01-01,13.094999999999999,80.29,Adyar (Urban),Urban,0.4377416848772445,24.731268000065953,1.007618965632659
2023-01-01,13.094999999999999,80.295,Adyar (Urban),Urban,0.514479514641193,32.59749017797943,0.6932822978470257
2023-01-01,13.1,80.28500000000001,Adyar (Urban),Urban,0.3539621595909444,38.74965130429702,0.7404903062796939
2023-01-01,13.1,80.29,Adyar (Urban),Urban,0.40283217049871906,34.69163536085135,0.670412437500219
2023-01-01,13.1,80.295,Adyar (Urban),Urban,0.5069348233938207,23.943052237209752,0.754893595179088
2023-01-01,13.105,80.28500000000001,Adyar (Urban),Urban,0.3215504464483747,22.98363054119763,0.7262271758028881
2023-01-01,13.105,80.29,Adyar (Urban),Urban,0.5140343245420042,24.245592389243107,0.9887289006412449
2023-01-01,13.105,80.295,Adyar (Urban),Urban,0.47176940646608445,22.040635636527774,0.5645070134273719
2023-01-01,13.055,80.245,Anna Nagar (Urban),Urban,0.4973161849877207,21.69006969291534,0.9097961027365216
2023-01-01,13.055,80.25,Anna Nagar (Urban),Urban,0.38118929504464805,21.760842860421437,0.9560174653671014
2023-01-01,13.055,80.255,Anna Nagar (Urban),Urban,0.29436909750910717,30.442130027976752,1.0066172136256388
2023-01-01,13.06,80.245,Anna Nagar (Urban),Urban,0.4113029927162009,32.855738090787725,0.6109750407392965
2023-01-01,13.06,80.25,Anna Nagar (Urban),Urban,0.5021766301004775,26.904436734829872,0.6043674355565517
2023-01-01,13.06,80.255,Anna Nagar (Urban),Urban,0.4295812222324563,37.05091294903632,0.7927365187699535
2023-01-01,13.065000000000001,80.245,Anna Nagar (Urban),Urban,0.46190900087950254,31.88256582649369,0.5809456865292513
2023-01-01,13.065000000000001,80.25,Anna Nagar (Urban),Urban,0.2805446046379133,31.387662064260034,0.9930691517093808
2023-01-01,13.065000000000001,80.255,Anna Nagar (Urban),Urban,0.31876433845761454,29.09158456750557,0.8624812282098091
2023-01-01,13.084999999999999,80.19500000000001,Velachery (Urban),Urban,0.3848609591945539,21.058919956727795,0.8151357047786165
2023-01-01,13.084999999999999,80.2,Velachery (Urban),Urban,0.3200915323666981,27.86687036137135,0.6519859719407343
2023-01-01,13.084999999999999,80.205,Velachery (Urban),Urban,0.28002747580317877,30.4528248613005,0.7570721957726467
2023-01-01,13.09,80.19500000000001,Velachery (Urban),Urban,0.4737647487776124,36.32007602986129,0.6044220610936537
2023-01-01,13.09,80.2,Velachery (Urban),Urban,0.31352325969451644,25.957405880456207,0.786458394780139
2023-01-01,13.09,80.205,Velachery (Urban),Urban,0.2832744119391699,38.12017056549137,0.9933561234449648
2023-01-01,13.095,80.19500000000001,Velachery (Urban),Urban,0.3137802427334397,35.3472425076331,0.8092215901433689
2023-01-01,13.095,80.2,Velachery (Urban),Urban,0.36921890995679785,21.67967789795315,0.883526269126933
2023-01-01,13.095,80.205,Velachery (Urban),Urban,0.5049888587230457,21.779458029313776,0.566839778629892
2023-01-01,13.045,80.08500000000001,Poonamallee (Rural),Rural,0.28993718456191886,13.7379202637288,0.6407575803125733
2023-01-01,13.045,80.09,Poonamallee (Rural),Rural,0.2455005819267408,21.502107574630912,0.4602052966443928
2023-01-01,13.045,80.095,Poonamallee (Rural),Rural,0.19116685273623132,20.046012677869136,0.3984758087200494
2023-01-01,13.05,80.08500000000001,Poonamallee (Rural),Rural,0.3072665978770345,19.616422444270565,0.6076086561884301
2023-01-01,13.05,80.09,Poonamallee (Rural),Rural,0.18604803215938562,15.773898396631303,0.37788042529509996
2023-01-01,13.05,80.095,Poonamallee (Rural),Rural,0.285788738408704,15.61671639727025,0.44666307941439476
2023-01-01,13.055000000000001,80.08500000000001,Poonamallee (Rural),Rural,0.2883519380494506,19.67368649410128,0.6128242285888077
2023-01-01,13.055000000000001,80.09,Poonamallee (Rural),Rural,0.29352963214723704,13.556647923553363,0.46194407917750646
2023-01-01,13.055000000000001,80.095,Poonamallee (Rural),Rural,0.2885085282366904,12.964497704842985,0.41607055093941225
2023-01-01,13.125,79.905,Thiruvallur (Rural),Rural,0.1876538590833297,13.647877693892374,0.5961408672633068
2023-01-01,13.125,79.91,Thiruvallur (Rural),Rural,0.18587708937267616,14.207575836495279,0.4284089965490726
