date,value,latitude,longitude,nearest_sat_lat,nearest_sat_lon,latitude_sat,longitude_sat,aod_550,trop_no2,trop_co,location_ground,parameter,unit,location_sat,location_type,month,day_of_week,hour,value_lag1,value_lag3,value_rolling_mean_3,value_rolling_mean_7,latitude_orig,longitude_orig
2025-10-21 19:00:00,67.62643162933612,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-1.0035110281140978,1.0818406951046848,1.6784250620273535,1.6826007467671884,2.42071873835496,3.962233391918812,13.0627,80.25070000000001
2025-10-21 20:00:00,48.17208992771024,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-1.0035110281140978,1.2262864619881066,1.6784250620273535,1.6826007467671884,1.229192357685842,2.010417450661929,13.0627,80.25070000000001
2025-10-21 21:00:00,41.58742426333216,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-1.0035110281140978,1.3707322288715285,0.026252536938482188,1.6826007467671884,0.5631547940028185,0.919394410498607,13.0627,80.25070000000001
2025-10-21 22:00:00,51.60232997998521,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-1.0035110281140978,1.51517799575495,-0.5329544444353628,1.6826007467671884,-0.0911341091996814,0.8762708130654525,13.0627,80.25070000000001
2025-10-21 23:00:00,32.16119401354574,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-1.0035110281140978,1.6596237626383719,0.3175678872982669,0.02768466173906354,-0.7448838017693347,0.07020024030555141,13.0627,80.25070000000001
2025-10-22 00:00:00,50.8078440293696,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-1.6626288756803294,-1.3334831322067493,-0.5324509259688963,-0.36839977365961374,0.15641379806216565,13.0627,80.25070000000001
2025-10-22 01:00:00,41.303862120018294,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-1.5181831087969075,0.25009565517095106,0.3194837637124358,-0.7889021761164074,-0.05443819266578703,13.0627,80.25070000000001
2025-10-22 02:00:00,36.219122288706224,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-1.3737373419134857,-0.5570361424708881,-1.3343089533852903,-0.6232106759918625,-0.9547335462423762,13.0627,80.25070000000001
2025-10-22 03:00:00,30.9136529251837,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-1.229291575030064,-0.9888609544004908,0.2518994887383436,-1.4355213291875712,-1.4494492977527629,13.0627,80.25070000000001
2025-10-22 04:00:00,49.13795288303535,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-1.084845808146642,-1.4394313643146992,-0.5565726135218577,-1.1156432626919768,-1.2330122333853284,13.0627,80.25070000000001
2025-10-22 05:00:00,34.54832241577138,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-0.9404000412632204,0.10827907179963953,-0.9891145038659692,-1.1838646107747062,-1.7218679835994837,13.0627,80.25070000000001
2025-10-22 06:00:00,40.963690576481476,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-0.7959542743797986,-1.130754711964861,-1.44043312070632,-0.7735059987349612,-1.4695430655514103,13.0627,80.25070000000001
2025-10-22 07:00:00,56.83456502380935,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-0.6515085074963768,-0.5859254303567708,0.10984740798951798,-0.4592413974388221,-1.2967861811666201,13.0627,80.25070000000001
2025-10-22 08:00:00,70.88704071814419,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-0.507062740612955,0.7619188253457336,-1.131243886961555,1.0245247856599444,-0.44877981592651595,13.0627,80.25070000000001
2025-10-22 09:00:00,63.47704506649877,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-0.36261697372953317,1.9553343933327416,-0.5855098742990177,1.9437799388671864,0.3325727335339954,13.0627,80.25070000000001
2025-10-22 10:00:00,47.96028310662508,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-0.21817120684611138,1.3260357301118006,0.764572580773192,1.581429255542641,0.8212170099361297,13.0627,80.25070000000001
2025-10-22 11:00:00,27.560172762807323,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,-0.0737254399626896,0.008264705955022468,1.9599699073801327,-0.1876739075569973,0.2026866235203872,13.0627,80.25070000000001
2025-10-22 12:00:00,51.76537410775538,13.0627,80.25070000000001,13.065,80.25,,,0.0,0.0,0.0,Anna Nagar (Urban),pm25,µg/m³,,,-1.3938641048743385,-0.4896392587460122,0.0707203269207322,-1.724227831483042,1.329626245179956,-0.665879582604944,0.6962160587378478,13.0627,80.25070000000001
